Genre,Acoustic,Afropop,Alternative Rock,Ambient,Bedroom-Pop,Black Metal,Bluegrass ,Blues,Bossa Nova,Break-Core,Country,Death Metal,Disco,Dream-Pop,Drum and Bass,EDM,Electro Jazz,Electronica,Emo,Experimental Electronic,Folk,Funk,Garage Rock,Goth,Grunge,Hard Rock,Heavy Metal,Hip Hop/Rap,House,Hyper-Pop,Indie Pop,Indie Rock,Industrial,Jazz,Jazz Funk,Jazz Fusion,Jungle,Latin,Lo-fi,Math Rock,Midwest Emo,New Wave,Noise,Phonk,Pop,Post-Punk,Progressive,Psychedelic,Punk Rock,R&B,Reggae,Reggaeton,Shoegaze,Singer-Songwriter,Ska,Slowcore,Soul,Surf-Rock,Synth-Pop,Synthwave,Techno,Trap,Vaporwave,World Music,Worship
Acoustic,10,0,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Afropop,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0
Alternative Rock,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,5,3,0,0,0,0,3,7,0,0,0,0,0,0,0,5,2,0,0,0,0,4,3,0,5,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
Ambient,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,7,0,0,8,0,0
Bedroom-Pop,0,0,4,0,10,0,0,0,0,0,0,0,0,8,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,2,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,8,7,2,0,0,0,0,0
Black Metal,0,0,1,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,2,8,8,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluegrass ,6,0,0,0,0,0,10,5,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Blues,0,0,3,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,2,6,0,0,0,3,0,0,0,0,0,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Bossa Nova,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,8,0
Break-Core,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,7,4,4,0,6,0,0,0,0,0,0,0,3,7,7,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,5,4,0,0,0
